ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
JKP Log d.o.o.,Poljana 1 C,Prevalje,2391 Prevalje,KOROŠKA,46.5446566;14.90174613,0,134.98,92,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;0.8--KOŽELJSKEGA ULICA;0.33--CESTA IV;0.06--CESTA III;0.08--CESTA II;0.07--CESTA I;0.09--GORIŠKA CESTA;0.27--ŠALEK;0.15--PREDOR ŠALEK;0.12--ŠALEK;1.03--SELO;0.84--PAKA PRI VELENJU;3.83--KOZJAK;0.04--PAKA PRI VELENJU;1.26--KOZJAK;0.77--ZAVRŠE;0.51--KOZJAK;0.21--ZAVRŠE;0.24--KOZJAK;0.01--ZAVRŠE;0.13--GORNJI DOLIČ;0.42--ZAVRŠE;0.03--GORNJI DOLIČ;1.2--MOVŽE;1.71--ŠENTLENART;0.57--STRAŽE;1.13--MISLINJA;0.01--STRAŽE;1.44--MISLINJA;0.01--STRAŽE;0.16--MISLINJA;0.12--MISLINJSKA DOBRAVA;3.79--TOMAŠKA VAS;0.58--ŠMARTNO PRI SLOVENJ GRADCU;2.82--SLOVENJ GRADEC;0.76--CELJSKA CESTA;0.96--PODGORSKA CESTA;0.97--SLOVENJ GRADEC;1.38--STARI TRG;0.03--SLOVENJ GRADEC;0.1--STARI TRG;0.96--VRHE;1.08--SELE;0.31--VRHE;0.04--SELE;0.07--VRHE;0.01--SELE;0.24--VRHE;0.08--SELE;0.06--VRHE;0.01--SELE;0.21--VRHE;0.01--SELE;0.02--VRHE;0.04--SELE;0.04--VRHE;0.02--SELE;0.11--VRHE;0.05--SELE;0.01--VRHE;0.02--SELE;1.4--SELE - DEL;0.18--PODGORA;0.34--BRDINJE;0.65--PODGORA;0.5--KOTLJE;0.91--BRDINJE;0.3--PREŠKI VRH;0.28--BRDINJE;0.33--PREŠKI VRH;0.85--NA ŠANCAH;0.49--OB SUHI;0.28--TRG SVOBODE;0.22--PREŽIHOVA ULICA;0.26--KOROŠKA CESTA;0.2--JANEČE;0.87--DOBJA VAS;1.03--PRI BRANČURNIKU;0.41--NICINA;0.24--SPODNJI KRAJ;0.53--NA PRODU;0.27--TRG;0.62--ZGORNJI KRAJ;0.46--PERZONALI;0.46--BREZNICA;0.22
JKP Log d.o.o.,Dobja vas 187,Ravne na Koroškem,2390 Ravne na Koroškem,KOROŠKA,46.54804741;14.94056054,0,132.07,90,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;0.8--KOŽELJSKEGA ULICA;0.33--CESTA IV;0.06--CESTA III;0.08--CESTA II;0.07--CESTA I;0.09--GORIŠKA CESTA;0.27--ŠALEK;0.15--PREDOR ŠALEK;0.12--ŠALEK;1.03--SELO;0.84--PAKA PRI VELENJU;3.83--KOZJAK;0.04--PAKA PRI VELENJU;1.26--KOZJAK;0.77--ZAVRŠE;0.51--KOZJAK;0.21--ZAVRŠE;0.24--KOZJAK;0.01--ZAVRŠE;0.13--GORNJI DOLIČ;0.42--ZAVRŠE;0.03--GORNJI DOLIČ;1.2--MOVŽE;1.71--ŠENTLENART;0.57--STRAŽE;1.13--MISLINJA;0.01--STRAŽE;1.44--MISLINJA;0.01--STRAŽE;0.16--MISLINJA;0.12--MISLINJSKA DOBRAVA;3.79--TOMAŠKA VAS;0.58--ŠMARTNO PRI SLOVENJ GRADCU;2.82--SLOVENJ GRADEC;0.76--CELJSKA CESTA;0.96--PODGORSKA CESTA;0.97--SLOVENJ GRADEC;1.38--STARI TRG;0.03--SLOVENJ GRADEC;0.1--STARI TRG;0.96--VRHE;1.08--SELE;0.31--VRHE;0.04--SELE;0.07--VRHE;0.01--SELE;0.24--VRHE;0.08--SELE;0.06--VRHE;0.01--SELE;0.21--VRHE;0.01--SELE;0.02--VRHE;0.04--SELE;0.04--VRHE;0.02--SELE;0.11--VRHE;0.05--SELE;0.01--VRHE;0.02--SELE;1.4--SELE - DEL;0.18--PODGORA;0.34--BRDINJE;0.65--PODGORA;0.5--KOTLJE;0.91--BRDINJE;0.3--PREŠKI VRH;0.28--BRDINJE;0.33--PREŠKI VRH;0.85--NA ŠANCAH;0.49--OB SUHI;0.28--TRG SVOBODE;0.22--PREŽIHOVA ULICA;0.26--KOROŠKA CESTA;0.2--JANEČE;0.87--DOBJA VAS;1.33
JKP Logatec d.o.o.,Tržaška cesta 27,Logatec,1370 Logatec,OSREDNJESLOVENSKA,45.91654399;14.2224172,0,25.41,15,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;3.1--CESTA TALCEV;0.25--BROD;0.16
JKP PRODNIK d.o.o.,Savska cesta 34,Domžale,1230 Domžale,OSREDNJESLOVENSKA,46.2327385;14.35968474,0,34.67,22,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;25.97--KRANJ VZHOD;0.2--PRIKLJUČEK KRANJ VZHOD;0.13--ŠENČUR;0.14--POSLOVNA CONA D;0.09--ŠENČUR;0.43--KRANJ;1.33--CESTA BOŠTJANA HLADNIKA;1.59--CESTA 1. MAJA;0.39--SAVSKA CESTA;0.81
JKP Radlje ob Dravi d.o.o.,Mariborska cesta 3,Radlje ob Dravi,2360 Radlje ob Dravi,KOROŠKA,46.6149023;15.2239649,0,144.75,96,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;0.8--KOŽELJSKEGA ULICA;0.33--CESTA IV;0.06--CESTA III;0.08--CESTA II;0.07--CESTA I;0.09--GORIŠKA CESTA;0.27--ŠALEK;0.15--PREDOR ŠALEK;0.12--ŠALEK;1.03--SELO;0.84--PAKA PRI VELENJU;3.83--KOZJAK;0.04--PAKA PRI VELENJU;1.26--KOZJAK;0.77--ZAVRŠE;0.51--KOZJAK;0.21--ZAVRŠE;0.24--KOZJAK;0.01--ZAVRŠE;0.13--GORNJI DOLIČ;0.42--ZAVRŠE;0.03--GORNJI DOLIČ;1.2--MOVŽE;1.71--ŠENTLENART;0.57--STRAŽE;1.13--MISLINJA;0.01--STRAŽE;1.44--MISLINJA;0.01--STRAŽE;0.16--MISLINJA;0.12--MISLINJSKA DOBRAVA;3.79--TOMAŠKA VAS;0.58--ŠMARTNO PRI SLOVENJ GRADCU;2.82--SLOVENJ GRADEC (OBVOZNICA);1.96--SLOVENJ GRADEC;0.6--GRADIŠČE;0.46--TROBLJE;0.01--GRADIŠČE;0.06--TROBLJE;0.46--PAMEČE;2.3--BUKOVSKA VAS;2.21--ŠENTJANŽ PRI DRAVOGRADU;1.37--OTIŠKI VRH;1.63--MEŽA;1.04--MARIBORSKA CESTA;1.42--SV. DUH;0.8--SV. BOŠTJAN;1.75--SV. DUH;0.91--VELKA;0.3--KOZJI VRH NAD DRAVOGRADOM;0.05--VRATA;1.75--GORTINA;2.85--MUTA;2.09--KOROŠKA CESTA;0.99--MARIBORSKA CESTA;0.71--SV. PRIMOŽ NAD MUTO;0.55--ZGORNJA VIŽINGA;1.66--DOBRAVA;0.35--OBVOZNICA RADLJE OB DRAVI;0.35--KOROŠKA CESTA;0.93--MARIBORSKA CESTA;0.13
JKP Slovenj Gradec d.o.o.,Pameče 177 A,Slovenj Gradec,2380 Slovenj Gradec,KOROŠKA,46.53454437;15.06943131,0,120.31,77,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;0.8--KOŽELJSKEGA ULICA;0.33--CESTA IV;0.06--CESTA III;0.08--CESTA II;0.07--CESTA I;0.09--GORIŠKA CESTA;0.27--ŠALEK;0.15--PREDOR ŠALEK;0.12--ŠALEK;1.03--SELO;0.84--PAKA PRI VELENJU;3.83--KOZJAK;0.04--PAKA PRI VELENJU;1.26--KOZJAK;0.77--ZAVRŠE;0.51--KOZJAK;0.21--ZAVRŠE;0.24--KOZJAK;0.01--ZAVRŠE;0.13--GORNJI DOLIČ;0.42--ZAVRŠE;0.03--GORNJI DOLIČ;1.2--MOVŽE;1.71--ŠENTLENART;0.57--STRAŽE;1.13--MISLINJA;0.01--STRAŽE;1.44--MISLINJA;0.01--STRAŽE;0.16--MISLINJA;0.12--MISLINJSKA DOBRAVA;3.79--TOMAŠKA VAS;0.58--ŠMARTNO PRI SLOVENJ GRADCU;2.82--SLOVENJ GRADEC (OBVOZNICA);1.96--SLOVENJ GRADEC;0.6--GRADIŠČE;0.46--TROBLJE;0.01--GRADIŠČE;0.06--TROBLJE;0.46--PAMEČE;1.02--GMAJNA;0.67
JKP Slovenske Konjice,Prežigal 9,Slovenske Konjice,3210 Slovenske Konjice,SAVINJSKA,46.33658472;15.45102054,0,108.58,60,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;86.45--SLOVENSKE KONJICE;0.11--PRIKLJUČEK SLOVENSKE KONJICE;0.62--TEPANJE;0.55--DOBRNEŽ;1.73--SLOVENSKE KONJICE;0.64--PREŽIGAL;0.27
JP - Komunala Cerknica d.o.o.,Notranjska cesta 44,Cerknica,1380 Cerknica,NOTRANJO-KRAŠKA,45.79797079;14.3634592,0,40.36,25,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;30.68--UNEC;0.17--PRIKLJUČEK UNEC;0.1--UNEC;1.54--RAKEK;0.01--POSTOJNSKA CESTA;1.36--PARTIZANSKA CESTA;0.57--STARA CESTA;0.19--PARTIZANSKA CESTA;0.48--CERKNICA;0.32--PODSKRAJNIK;1.86--DOLENJA VAS;0.21--CESTA 4. MAJA;0.41--CERKNICA;0.13--NOTRANJSKA CESTA;0.44--ZIDANŠKOVA ULICA;0.14--KAMNA GORICA;0.19--NOTRANJSKA CESTA;0.08
JP - Komunala Cerknica d.o.o.,Cesta Notranjskega odreda 46,Lož,1386 Stari Trg pri Ložu,NOTRANJO-KRAŠKA,45.76459902;14.62972043,0,50.09,44,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;5.54--ŠMARJE-SAP;0.41--MALI VRH PRI ŠMARJU;0.07--RIMSKA CESTA;0.1--TLAKE;1.24--ŠMARSKA CESTA;0.78--KOČEVSKA CESTA;1.51--GUMNIŠČE;1.14--KOČEVSKA CESTA;2.03--SMRJENE;1.8--KOČEVSKA CESTA;1.69--VRH NAD ŽELIMLJAMI;0.87--ŽELIMLJE;0.01--VRH NAD ŽELIMLJAMI;0.37--ŽELIMLJE;0.66--VELIKI LOČNIK;0.78--TURJAK;0.15--MALI LOČNIK;1.34--SLOKA GORA;0.19--TURJAK;1.63--PRAZNIKI;0.12--LAPORJE;0.96--RAŠICA;1.75--MALE LAŠČE;1.24--VELIKE LAŠČE;0.32--TRUBARJEVA CESTA;0.64--CEREJA;1.43--MEDVEDJEK;0.68--MALA SLEVICA;1.29--DVORSKA VAS;0.67--;0.22--JUNČJE;0.34--MAROLČE;0.44--;0.52--ANDOL;0.44--SV. GREGOR;0.83--;1.0--ZAMOSTEC;0.36--SLEMENSKA CESTA;1.23--ZAVODA;0.2--TRG 25. MAJA;0.16--CESTA NOTRANJSKEGA ODREDA;0.58
"JP d.o.o., Komunala Kranj",Cesta v Polico 43,Cerklje,4207 Cerklje na Gorenjskem,GORENJSKA,46.25006027;14.48987761,0,29.55,22,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;17.11--VODICE;0.18--PRIKLJUČEK VODICE;0.25--ŠKOFJELOŠKA CESTA;0.28--VODICE;0.03--ŠKOFJELOŠKA CESTA;0.44--BRNIŠKA CESTA;0.69--VODICE;0.84--LAHOVČE;2.08--VOPOVLJE;0.24--SPODNJI BRNIK;1.66--ZGORNJI BRNIK;1.35--SLOVENSKA CESTA;0.49--CESTA V POLICO;0.3
"JP d.o.o., Komunala Kranj",Zgornje Jezersko,Jezersko,4206 Zgornje Jezersko,GORENJSKA,46.39499506;14.49660684,0,57.36,43,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;25.97--KRANJ VZHOD;0.2--PRIKLJUČEK KRANJ VZHOD;0.13--ŠENČUR;0.06--;0.91--KRANJSKA CESTA;0.54--PIPANOVA CESTA;1.19--SREDNJA VAS PRI ŠENČURJU;0.21--;1.11--VISOKO;1.32--HOTEMAŽE;1.21--TUPALIČE;2.56--POTOČE;1.61--KOKRA;10.48--SPODNJE JEZERSKO;3.8--ZGORNJE JEZERSKO;2.46
"JP d.o.o., Komunala Kranj",Cesta na Okroglo 9,Naklo,4202 Naklo,GORENJSKA,46.26188754;14.32305041,0,37.99,23,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;31.93--KRANJ ZAHOD;0.17--PRIKLJUČEK KRANJ ZAHOD;0.12--KRANJ;0.72--POLICA;0.04--STRUŽEVO;0.84--POLICA;0.11--OKROGLO;0.15--NAKLO;0.18--CESTA NA OKROGLO;0.12
"JP d.o.o., Komunala Kranj",Partizanska ulica 34,Šenčur,4208 Šenčur,GORENJSKA,46.24507997;14.41321687,0,31.59,19,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;25.97--KRANJ VZHOD;0.2--PRIKLJUČEK KRANJ VZHOD;0.13--ŠENČUR;0.06--;0.91--KRANJSKA CESTA;0.31--PARTIZANSKA ULICA;0.41
"JP d.o.o., Komunala Kranj",Golnik,Tenetiše,4000 Kranj,GORENJSKA,46.33143434;14.33055034,0,45.62,30,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;31.93--KRANJ ZAHOD;0.17--PRIKLJUČEK KRANJ ZAHOD;0.12--KRANJ;0.59--BLEIWEISOVA CESTA;0.03--KRANJ;0.46--KOKRICA;0.04--GOLNIŠKA CESTA;1.28--SRAKOVLJE;0.59--MLAKA PRI KRANJU;0.12--TENETIŠE;1.89--LETENICE;0.95--GORIČE;1.54--GOLNIK;2.3
"JP d.o.o., Komunala Kranj",Savska loka 31,Zarica,4000 Kranj,GORENJSKA,46.221;14.36840199,0,36.36,24,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;25.97--KRANJ VZHOD;0.2--PRIKLJUČEK KRANJ VZHOD;0.13--ŠENČUR;0.14--POSLOVNA CONA D;0.09--ŠENČUR;0.43--KRANJ;1.33--CESTA BOŠTJANA HLADNIKA;1.59--CESTA 1. MAJA;0.39--SAVSKA CESTA;1.43--SAVSKA LOKA;1.06
JP Komunala Koper d.o.o.,Klanec 1,Koper,6276 Pobegi,OBALNO-KRAŠKA,45.92068852;14.2339755,0,25.26,16,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;20.4--LOGATEC;2.14--ZELENICA;0.28--JAČKA;0.37--TOVARNIŠKA CESTA;0.26--KLANEC;0.32
JP Komunala Laško d.o.o.,Modrič,Laško,3270 Laško,SAVINJSKA,46.4097999;15.47055532,0,117.19,72,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;86.45--SLOVENSKE KONJICE;0.11--PRIKLJUČEK SLOVENSKE KONJICE;0.62--TEPANJE;1.27--NOVO TEPANJE;0.77--;0.68--NOVO TEPANJE;0.32--POBREŽ;1.4--DOBRIŠKA VAS;0.81--;1.17--GMAJNA;0.67--PARTIZANSKA CESTA;0.32--ČADRAM;1.26--ZLOGONA GORA;0.48--ZLOGONA VAS;1.87--;0.3--MODRIČ;0.47
JP Komunala Radeče d.o.o.,Titova ulica 107,Radeče,1433 Radeče,SAVINJSKA,46.06512468;15.16240819,0,88.17,63,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;31.98--TROJANE;0.14--V ZIDEH;0.23--PREDOR V ZIDEH;0.31--V ZIDEH;0.38--POLŠINA;0.46--HRASTNIK PRI TROJANAH;0.21--POLŠINA;0.01--HRASTNIK PRI TROJANAH;0.14--POLŠINA;0.47--HRASTNIK PRI TROJANAH;0.11--POLŠINA;0.02--HRASTNIK PRI TROJANAH;0.05--POLŠINA;0.04--HRASTNIK PRI TROJANAH;0.02--POLŠINA;0.07--HRASTNIK PRI TROJANAH;0.01--POLŠINA;0.13--OREHOVICA;1.64--PODLIPOVICA;0.69--MEDIJSKE TOPLICE;0.42--IZLAKE;0.71--OBREZIJA;0.79--SPODNJE IZLAKE;0.96--IZLAKE;0.32--LOKE PRI ZAGORJU;0.99--BOROVNIŠKO NASELJE;0.48--TRG POHORSKEGA BATALJONA;0.17--RUDARSKA CESTA;0.08--PETELINKARJEVA CESTA;0.38--PODKRAJ PRI ZAGORJU;0.11--LOKE PRI ZAGORJU;0.04--PODKRAJ PRI ZAGORJU;0.4--LOKE PRI ZAGORJU;0.48--PODVINE;0.61--KOPALIŠKA ULICA;0.67--PREČNA POT;0.06--CESTA ZMAGE;0.79--KOLODVORSKA CESTA;1.03--ŠKLENDROVEC;0.97--ZAVRŠJE;2.44--TRBOVLJE;2.34--ZASAVSKA CESTA;0.3--TRBOVLJE;0.24--DOBOVEC;1.25--PODKRAJ;1.63--GRAJSKA POT;0.35--CESTA 1. MAJA;0.29--ZA SAVO;1.22--KRNICE;0.88--ŠAVNA PEČ;1.98--SUHADOL;1.55--ŠIRJE;0.88--ZIDANI MOST;1.51--OBREŽJE PRI ZIDANEM MOSTU;0.88--OBREŽJE;2.06--RADEČE;0.25--POT NA BROD;0.7--TRG;0.1--TITOVA ULICA;1.56
JP Okolje Piran d.o.o.,Arze 1 B,Piran,6330 Portorož - Portorose,OBALNO-KRAŠKA,45.52620348;13.57445067,0,112.82,60,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;3.27--ISTRSKA CESTA;0.26--PREDOR MARKOVEC;2.16--IZOLA;3.73--JAGODJE;1.66--DOBRAVA;1.19--STRUNJAN;2.02--LUCIJA;0.15--KOPRSKA CESTA;0.78--BELOKRIŠKA CESTA;1.83--ARZE;0.35--FIESA;0.03
JP Komunala Črnomelj d.o.o.,Belokranjska cesta 24 A,Črnomelj,8340 Črnomelj,JUGOVZHODNA,45.5807854;15.19820265,0,103.65,74,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;54.81--NOVO MESTO - ZAHOD;0.24--NOVO MESTO;0.73--LJUBLJANSKA CESTA;1.56--MUHABER;0.06--LJUBLJANSKA CESTA;2.41--ŠMIHELSKI MOST;0.11--ŠMIHELSKA CESTA;0.6--ŠMIHEL;2.27--ŠKRJANČE PRI NOVEM MESTU;1.25--STRANSKA VAS;1.2--BIRČNA VAS;2.92--URŠNA SELA;1.31--LJUBEN;1.63--MAKUTE;0.39--VAŠKA CESTA;2.97--LAZE;1.39--ROŽNI DOL;2.83--PRELOGE;0.18--ROŽNI DOL;0.06--PRELOGE;0.01--ROŽNI DOL;0.14--PRELOGE;0.16--POTOKI;0.03--PRELOGE;1.98--SEMIČ;0.76--GABER;0.23--K TAJČBIRTU;0.8--KOT;0.95--SEMIČ;0.3--RUČETNA VAS;0.95--MIHELJA VAS;0.47--GORNJA PAKA;0.03--MIHELJA VAS;0.12--GORNJA PAKA;0.21--PETROVA VAS;0.01--GORNJA PAKA;0.05--PETROVA VAS;0.08--GORNJA PAKA;0.07--ROŽANEC;0.09--GORNJA PAKA;0.17--ROŽANEC;0.01--GORNJA PAKA;0.53--LOKVE;2.26--ULICA 21. OKTOBRA;0.92--ULICA PADLIH BORCEV;0.14--SEMIŠKA CESTA;0.16--METLIŠKA CESTA;0.43--BELOKRANJSKA CESTA;0.33
JP Komunala Črnomelj d.o.o.,Obrtna cona 8,Semič,8333 Semič,JUGOVZHODNA,45.65593133;15.19252909,0,97.81,65,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;57.09--NOVO MESTO - VZHOD;0.11--PRIKLJUČEK NOVO MESTO - VZHOD;0.23--NA BREZOVICI;0.33--ZAGREBŠKA CESTA;0.97--ANDRIJANIČEVA CESTA;1.05--LEVIČNIKOVA CESTA;1.77--BELOKRANJSKA CESTA;2.65--ČRMOŠNJICE PRI STOPIČAH;1.5--DOLNJA TEŽKA VODA;1.48--KOROŠKA VAS;1.82--VINJA VAS;5.51--PRELAZ VAHTA;0.41--IGLENIK;0.66--JUGORJE PRI METLIKI;1.36--BOŽIČ VRH;0.02--JUGORJE PRI METLIKI;0.44--SELA PRI JUGORJU;0.45--BOŽIČ VRH;0.55--SELA PRI JUGORJU;0.04--MALINE PRI ŠTREKLJEVCU;0.71--BREZOVA REBER;0.35--ŠKEMLJEVEC;0.08--BREZOVA REBER;1.17--OSOJNIK;1.19--ŠTREKLJEVEC;1.23--PODREBER;0.91--VAJDOVA ULICA;1.07--OBRTNA CONA;0.31
JPK d.o.o. Mozirje,Praprotnikova ulica 36,Mozirje,3330 Mozirje,SAVINJSKA,46.33716428;14.95820157,0,82.81,52,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;49.72--ŠENTRUPERT;0.29--ORLA VAS;0.24--TRNAVA;0.79--ORLA VAS;0.32--TOPOVLJE;0.92--PARIŽLJE;1.39--PRESERJE;0.26--PARIŽLJE;0.65--MALE BRASLOVČE;1.36--LETUŠ;4.27--LJUBIJA;2.75--MOZIRJE;0.52--OROŽNOVA ULICA;0.84--SAVINJSKA CESTA;0.2--NOVE TRATE;0.05--PRAPROTNIKOVA ULICA;0.04
JPK Izola d.o.o.,Industrijska cesta 8,Izola,6310 Izola - Isola,OBALNO-KRAŠKA,45.53626695;13.67083079,0,102.78,51,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;3.27--ISTRSKA CESTA;0.26--PREDOR MARKOVEC;2.16--IZOLA;1.46--INDUSTRIJSKA CESTA;0.24
JPK Metlika d.o.o.,Cesta XV. brigade 4,Metlika,8330 Metlika,JUGOVZHODNA,45.64763005;15.31577977,0,100.5,67,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;57.09--NOVO MESTO - VZHOD;0.11--PRIKLJUČEK NOVO MESTO - VZHOD;0.23--NA BREZOVICI;0.33--ZAGREBŠKA CESTA;0.97--ANDRIJANIČEVA CESTA;1.05--LEVIČNIKOVA CESTA;1.77--BELOKRANJSKA CESTA;2.65--ČRMOŠNJICE PRI STOPIČAH;1.5--DOLNJA TEŽKA VODA;1.48--KOROŠKA VAS;1.82--VINJA VAS;5.51--PRELAZ VAHTA;0.41--IGLENIK;0.66--JUGORJE PRI METLIKI;1.36--BOŽIČ VRH;0.38--ŠKEMLJEVEC;0.49--DOLE;0.03--MAČKOVEC PRI SUHORJU;0.02--DOLE;1.34--HRAST PRI JUGORJU;0.97--BEREČA VAS;0.88--DOLNJI SUHOR PRI METLIKI;0.34--BEREČA VAS;1.11--BUŠINJA VAS;0.3--DOLNJA LOKVICA;0.91--GORNJA LOKVICA;0.32--TRNOVEC;1.24--METLIKA;0.04--BOČKA;1.32--CESTA XV. BRIGADE;1.13--CESTA BRATSTVA IN ENOTNOSTI;0.13--BREG REVOLUCIJE;0.08--;0.17
